EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,Target
4250.256348,4384.615234,4151.794922,4403.077148,5185.641113,4277.94873,4242.563965,4242.563965,4280,4393.846191,4405.128418,4262.05127,4632.820313,4265.641113,0
4224.615234,4417.94873,4150.769043,4468.717773,4747.692383,4261.025879,4199.487305,4204.102539,4249.743652,4512.820313,4403.077148,4236.410156,4553.333496,4278.974121,0
4287.179688,4091.281982,4207.692383,3987.179443,4451.282227,4229.743652,4253.846191,4204.615234,4243.589844,4313.846191,4417.94873,4268.717773,4483.077148,4276.410156,0
4258.461426,4188.717773,4183.077148,4075.384521,5121.538574,4224.102539,4224.102539,4216.922852,4287.692383,4378.974121,4242.05127,4203.589844,4524.102539,4208.205078,0
4210.769043,4380,4148.205078,4471.282227,5035.897461,4275.897461,4238.974121,4243.589844,4283.077148,4383.077148,4304.102539,4198.974121,4569.230957,4225.641113,0
4256.922852,4182.563965,4195.384766,4116.410156,5366.153809,4227.692383,4269.743652,4216.410156,4217.436035,4415.897461,4253.333496,4276.410156,4413.846191,4242.05127,0
4267.692383,4185.128418,4208.205078,4126.666504,5115.384766,4201.025879,4236.922852,4243.077148,4407.179688,4270.256348,4134.358887,4318.974121,4455.897461,4251.282227,0
4260,3942.05127,4223.077148,3805.641113,4326.153809,4149.230957,4223.589844,4192.820313,4162.563965,4044.102539,4224.102539,4288.205078,4452.820313,4229.743652,0
4207.692383,4215.897461,4177.436035,4163.077148,4375.384766,4201.025879,4204.102539,4196.410156,4207.179688,4328.717773,4215.897461,4216.922852,4273.333496,4217.436035,0
4261.025879,4090.256348,4178.461426,4025.641113,4097.94873,4225.128418,4267.179688,4215.384766,4218.461426,4223.077148,4261.025879,4221.538574,4481.538574,4202.563965,0
4165.128418,4158.461426,4162.563965,4149.743652,4982.563965,4185.128418,4188.205078,4183.589844,4187.179688,4238.974121,4078.461426,4212.307617,4291.794922,4173.333496,0
4265.641113,4205.128418,4180,4195.897461,4714.871582,4246.666504,4269.230957,4258.974121,4269.743652,4207.692383,4216.410156,4274.358887,4252.820313,4251.282227,0
4229.230957,4203.589844,4187.692383,4131.282227,5107.179688,4201.025879,4196.922852,4198.461426,4239.487305,4332.307617,4280,4225.641113,4446.153809,4189.230957,0
4239.487305,4173.846191,4200,4138.974121,5044.102539,4199.487305,4223.589844,4224.615234,4217.94873,4250.769043,4147.692383,4291.282227,4414.871582,4222.563965,0
4236.410156,4413.846191,4152.820313,4455.897461,5038.974121,4333.846191,4292.307617,4258.461426,4288.717773,4426.153809,4315.897461,4310.769043,4500,4286.153809,0
4198.974121,4275.897461,4164.102539,4443.589844,5317.436035,4197.436035,4199.487305,4207.179688,4242.05127,4492.307617,4276.410156,4183.077148,4524.615234,4200.512695,0
4167.692383,4127.179688,4187.179688,4106.666504,4236.922852,4158.974121,4166.153809,4175.384766,4164.615234,4154.358887,4094.871826,4264.102539,4175.384766,4196.922852,0
4116.410156,4121.538574,4184.102539,4167.179688,4204.615234,4203.589844,4201.025879,4203.589844,4213.333496,4220.512695,4173.333496,4189.230957,4158.461426,4125.641113,0
4261.538574,4128.205078,4194.358887,4126.666504,4997.94873,4230.769043,4285.128418,4252.820313,4248.205078,4171.282227,4262.563965,4345.641113,4680.512695,4267.179688,0
4228.205078,4137.94873,4107.692383,4013.333252,5106.153809,4196.410156,4290.256348,4224.102539,4219.487305,4288.717773,4076.923096,4322.05127,814.871765,4219.487305,0
4265.641113,4413.333496,4184.615234,4325.128418,5159.487305,4304.102539,4275.897461,4243.077148,4289.230957,4469.743652,4292.307617,4238.974121,4636.922852,4212.307617,0
4216.410156,4134.358887,4207.179688,4075.384521,4322.563965,4168.717773,4187.692383,4185.641113,4197.436035,4248.717773,4223.589844,4212.820313,4252.307617,4234.358887,0
4336.410156,4173.846191,4210.256348,4146.153809,5415.897461,4243.589844,4268.717773,4267.692383,4274.358887,4444.615234,4259.487305,4361.025879,4485.641113,4287.692383,0
4247.179688,4289.743652,4163.077148,4265.128418,4640,4245.641113,4233.846191,4213.846191,4237.94873,4391.794922,4235.897461,4248.205078,4479.487305,4237.436035,0
4546.153809,4537.94873,4197.94873,4326.666504,4174.871582,4149.230957,4206.153809,4166.666504,4155.897461,4158.974121,4266.666504,4336.410156,4404.102539,4537.94873,0
4333.846191,4349.230957,4192.307617,4263.589844,4167.692383,4163.077148,4175.384766,4174.871582,4167.692383,4175.384766,4238.461426,4256.410156,4282.05127,4332.820313,1
4367.692383,4459.487305,4194.871582,4290.256348,4234.871582,4173.846191,4178.461426,4186.666504,4179.487305,4169.743652,4222.05127,4255.384766,4249.230957,4347.692383,1
4376.410156,4463.077148,4192.307617,4298.974121,4202.563965,4171.282227,4177.94873,4170.256348,4159.487305,4166.666504,4212.820313,4258.974121,4236.410156,4362.563965,1
4258.974121,4300,4189.230957,4231.282227,4195.897461,4170.256348,4169.743652,4168.717773,4172.307617,4170.769043,4196.922852,4208.205078,4197.94873,4275.897461,1
4428.205078,4543.077148,4196.410156,4328.717773,4191.794922,4168.205078,4168.717773,4164.615234,4143.589844,4139.487305,4230.769043,4266.153809,4283.077148,4391.794922,1
4332.820313,4389.743652,4191.282227,4246.666504,4186.666504,4174.358887,4173.333496,4178.974121,4158.974121,4226.666504,4191.282227,4230.769043,4228.205078,4311.794922,1
4397.94873,4557.436035,4195.897461,4322.05127,4073.846191,4153.846191,4159.487305,4166.153809,4150.769043,3967.692383,4205.128418,4258.461426,4204.615234,4332.820313,1
4402.05127,4563.077148,4201.538574,4336.410156,4197.94873,4158.461426,4171.282227,4172.307617,4164.102539,4141.538574,4228.205078,4283.589844,4276.922852,4392.820313,1
4400.512695,4494.871582,4193.333496,4293.846191,4182.563965,4167.692383,4157.94873,4170.769043,4165.641113,4133.333496,4200.512695,4241.025879,4240.512695,4367.692383,1
4400.512695,4634.358887,4189.743652,4343.589844,4255.897461,4151.282227,4155.384766,4146.153809,4140,4117.436035,4167.179688,4240.512695,4186.666504,4343.077148,1
4387.692383,4636.922852,4185.128418,4342.05127,4138.974121,4128.717773,4149.743652,4133.333496,4121.538574,4043.076904,4137.94873,4203.077148,4089.230713,4330.769043,1
4356.410156,4433.333496,4194.871582,4293.333496,4183.077148,4160.512695,4158.974121,4171.282227,4151.282227,4150.256348,4200.512695,4234.358887,4222.05127,4319.487305,1
4363.589844,4563.589844,4181.538574,4326.666504,4238.974121,4168.717773,4167.179688,4157.436035,4140.512695,4122.563965,4151.282227,4215.384766,3575.897461,4295.897461,1
4353.333496,4544.102539,4189.743652,4305.128418,4216.410156,4166.666504,4166.666504,4154.871582,4154.871582,4128.717773,4161.538574,4215.897461,4305.128418,4301.538574,1
4426.666504,4665.641113,4189.743652,4361.025879,4211.794922,4161.538574,4164.102539,4158.974121,4153.333496,4103.077148,4165.128418,4223.589844,4112.307617,4348.717773,1
4360,4516.410156,4193.333496,4308.205078,4161.538574,4147.179688,4159.487305,4157.436035,4149.230957,4104.102539,4188.205078,4238.461426,4211.282227,4303.077148,1
4373.846191,4606.153809,4189.743652,4331.282227,4213.333496,4150.769043,4160,4157.436035,4146.153809,4104.102539,4138.974121,4229.743652,4134.358887,4293.333496,1
4447.692383,4614.871582,4194.358887,4350.769043,4195.384766,4164.102539,4161.538574,4167.179688,4161.025879,4146.666504,4212.820313,4270.769043,4237.436035,4421.025879,1
4438.974121,4505.128418,4197.436035,4306.666504,4224.102539,4166.666504,4167.692383,4175.897461,4164.102539,4167.692383,4256.410156,4280,4311.794922,4419.487305,1
4423.077148,4572.820313,4197.94873,4320,4215.384766,4141.538574,4151.282227,4146.153809,4138.461426,4126.153809,4182.05127,4236.922852,4221.025879,4372.820313,1
4417.94873,4654.358887,4195.384766,4355.384766,4241.538574,4164.102539,4164.102539,4158.461426,4145.128418,4123.589844,4173.846191,4242.05127,4178.974121,4362.563965,1
4418.974121,4637.436035,4186.153809,4341.025879,4212.820313,4158.974121,4157.94873,4159.487305,4143.077148,4098.461426,4174.871582,4230.256348,3716.923096,4365.128418,1
